samples,min_raw,median_price,q1_price,avg_price,max_price,fraction_low,low_threshold,low_count,normal_min,decision,cutoff,articulum
91,722.0,10440.0,3000.0,14970.758241758242,140300.0,0.2857142857142857,4176.0,26,722.0,stable_low_market,,A2126200191
67,722.0,13202.0,5350.0,11831.044776119403,24500.0,0.2537313432835821,5280.8,17,722.0,stable_low_market,,LR022688
84,450.0,2100.0,1200.0,4195.011904761905,51000.0,0.07142857142857142,840.0,6,750.0,filtered_outliers,720.0,06E903133AC
93,360.0,2720.0,1214.0,3783.3010752688174,15850.0,0.22580645161290322,1088.0,21,754.0,filtered_outliers,728.4,09M325429
209,222.0,2000.0,1260.0,4018.7081339712918,113800.0,0.10526315789473684,800.0,22,760.0,filtered_outliers,756.0,06H103269H
161,760.0,7635.0,2900.0,8146.913043478261,78744.0,0.2857142857142857,3054.0,46,760.0,stable_low_market,,A2732000201
137,500.0,2400.0,1200.0,3195.6204379562046,15714.0,0.11678832116788321,960.0,16,780.0,filtered_outliers,720.0,03C103935
73,800.0,7300.0,2880.0,7526.7945205479455,17575.0,0.2876712328767123,2920.0,21,800.0,stable_low_market,,LR002625
241,800.0,20000.0,3500.0,25115.526970954357,291900.0,0.3360995850622407,8000.0,81,800.0,stable_low_market,,4M0616005
51,800.0,26999.0,3971.0,42849.05882352941,189566.0,0.4117647058823529,10799.6,21,800.0,stable_low_market,,LR052387
46,800.0,30499.5,7250.0,42186.065217391304,367500.0,0.391304347826087,12199.800000000001,18,800.0,stable_low_market,,A4639063601
72,42.0,2000.0,1300.0,7333.277777777777,129900.0,0.1111111111111111,800.0,8,800.0,filtered_outliers,780.0,703500875
40,807.0,9687.5,4191.75,8952.45,19147.0,0.25,3875.0,10,807.0,stable_low_market,,LR029140
153,200.0,2300.0,1280.0,6677.143790849673,49406.0,0.20915032679738563,920.0,32,807.0,filtered_outliers,768.0,A1668851925
128,10.0,2012.5,1337.5,7075.7578125,90000.0,0.140625,805.0,18,810.0,filtered_outliers,802.5,A1668850753
42,835.0,7550.0,2990.0,7254.761904761905,16325.0,0.3333333333333333,3020.0,14,835.0,stable_low_market,,TDR500100
12,855.0,28956.5,19951.5,23865.583333333332,42025.0,0.25,11582.6,3,855.0,stable_low_market,,LR137499
46,525.0,3154.5,1384.5,4456.739130434783,11830.0,0.21739130434782608,1261.8000000000002,10,871.0,filtered_outliers,830.6999999999999,715900326
201,391.0,2430.0,1353.0,4680.28855721393,38272.0,0.13930348258706468,972.0,28,880.0,filtered_outliers,811.8,A1122000970
173,500.0,2000.0,1426.0,3784.0115606936415,26710.0,0.023121387283236993,800.0,4,888.0,filtered_outliers,855.6,3501123XGW02A
187,165.0,2400.0,1349.0,4608.208556149732,27716.0,0.1443850267379679,960.0,27,899.0,filtered_outliers,809.4,A2712001001
47,800.0,3260.0,1500.0,4908.851063829788,15388.0,0.10638297872340426,1304.0,5,900.0,filtered_outliers,900.0,LR033534
53,655.0,2000.0,1500.0,24689.67924528302,235000.0,0.05660377358490566,800.0,3,900.0,filtered_outliers,900.0,06E103472L
94,900.0,7276.0,2900.0,8287.425531914894,53797.0,0.26595744680851063,2910.4,25,900.0,stable_low_market,,03-F121004E
149,499.0,3300.0,1500.0,5732.10067114094,30400.0,0.18120805369127516,1320.0,27,900.0,filtered_outliers,900.0,A6422001970
182,192.0,3000.0,1500.0,5093.56043956044,26250.0,0.17032967032967034,1200.0,31,930.0,filtered_outliers,900.0,A2762000370
40,936.0,5890.0,1522.5,5730.525,14600.0,0.35,2356.0,14,936.0,stable_low_market,,03H109507
