articulum,min_price,brands
267000030,3500,
267000638,2500,
277001790,10000,
293350151,2300,
293600133,2350,
295100752,19500,
295100814,10000,
295100835,7900,
295100885,25999,
295100889,14500,
295100909,17000,
295100950,19999,
295100965,16990,
295101014,14500,
295101043,78000,
295101138,19000,
295101148,13999,
295101160,14500,
295101259,40000,
415129406,6400,
