articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000
A000423101207,45,391,4091.0,6028.7333333333333333,23137,2,5
LR017436,30,400,11687.5,10149.2666666666666667,49200,8,9
LR045251,147,400,17500.0,14235.530612244898,25000,6,8
06E903133AE,112,400,1995.0,3484.2053571428571429,13410,38,57
06E121111AL,96,400,2251.0,3494.8229166666666667,14780,15,39
A6420103707,115,400,10966.0,12936.747826086957,34042,1,7
03C121008H,173,400,3000.0,3797.2196531791907514,13848,24,46
A2202770998,65,400,1500.0,6593.6769230769230769,28600,31,35
LR016683,26,407,6062.5,5604.5000000000000000,13940,2,3
A1642820182,30,410,25828.0,24839.733333333333,7E+4,2,3
A0009061505,209,418,3000.0,4693.3827751196172249,28200,12,57
A2034702394,87,420,6800.0,7588.1839080459770115,33500,1,3
3C0411303T,106,430,5000.0,7376.8301886792452830,47034,12,18
A2711801410,199,430,6165.0,8887.4070351758793970,55350,1,10
LR005939,67,430,31200.0,32157.865671641791,75611,3,3
A1668840190,132,440,3500.0,8703.1969696969696970,1.7E+5,17,41
A2513300807,176,440,5005.5,5874.7272727272727273,33600,3,22
6NW009550,139,440,9500.0,14886.676258992806,94990,1,1
565853653A,212,450,5525.0,7697.9056603773584906,57000,8,22
03H109465,83,450,15000.0,19583.927710843373,2.3E+5,4,7
03F105266,134,450,9250.0,17657.776119402985,92272,2,3
06H107065DM,167,450,8000.0,10750.766467065868,47400,4,11
06E903133AC,84,450,2100.0,4195.0119047619047619,51000,22,42
1K0919051CJ,16,450,9645.0,11852.875000000000,25200,1,1
03C121008J,87,450,2700.0,4291.6551724137931034,13900,16,30
LR092039,76,450,3000.0,4566.3157894736842105,16000,8,17
06K103171P,35,450,7520.0,8841.7142857142857143,21223,4,6
7L0698451H,75,451,3600.0,5799.3200000000000000,21000,6,13
A4635001100,40,463,19475.0,23629.400000000000,64248,2,2
8R0407694B,37,470,8787.0,10733.513513513514,26999,2,3
A6510101230,73,471,9000.0,18044.082191780822,475000,3,10
A2309810127,124,475,2580.0,5211.1854838709677419,46000,10,49
8K0698151P,61,475,4644.0,6935.8688524590163934,19500,1,9
A0008800300,101,477,9000.0,12580.990099009901,1.0E+5,1,5
A1668307201,167,480,1700.0,4216.3413173652694611,25500,56,94
VKBA7011,56,492,8939.0,8862.9285714285714286,14860,1,1
420887445,31,494,9995.0,15103.129032258065,31500,1,1
A1668847722,53,499,6000.0,6247.6037735849056604,16000,1,3
A2C59511700,24,499,15500.0,16914.500000000000,41325,1,1
LR008836,157,499,8075.0,9853.2738853503184713,96715,21,33
B66470156,21,499,9000.0,8320.0476190476190476,13500,1,1
22204-31020,212,499,2500.0,3386.2122641509433962,17950,33,79
A6422001970,149,499,3300.0,5732.1006711409395973,30400,25,57
A0004209004,53,499,7137.0,7128.1698113207547170,15650,2,5
7P0616006H,112,500,22450.0,23380.366071428571,1.1E+5,7,13
036107065ET,109,500,5600.0,7413.7522935779816514,27300,5,24
03C103935,137,500,2400.0,3195.6204379562043796,15714,36,55
A2122406317,58,500,5570.0,5430.8965517241379310,15469,8,16
K015680XS,96,500,7499.5,7278.0937500000000000,14822,3,4
A2213306400,144,500,9900.0,10905.902777777778,49500,1,8
7L0919679,120,500,4000.0,6184.1916666666666667,30600,6,35
WKW500080,33,500,8000.0,7822.6969696969696970,19080,3,3
1K0615301M,62,500,3636.5,9353.2258064516129032,5E+4,1,2
KKB500760,77,500,2000.0,4266.0649350649350649,15000,22,42
7P6698451C,55,500,4690.0,6719.8909090909090909,21864,2,7
04E109088AN,86,500,11564.5,12313.348837209302,46941,1,1
A2700521400,135,500,7595.0,9932.3185185185185185,90250,18,28
04E906455D,170,500,2000.0,4339.4705882352941176,1.0E+5,25,95
4M0407689C,121,500,4170.0,5634.7603305785123967,39999,5,27
04L130277AL,10,500,19000.0,20786.200000000000,58000,1,1
A6422002315,184,500,3550.0,5572.1576086956521739,32500,19,66
